name,URL,author,publisher,date,price,date,price,rate,comment
13 67,https://book.douban.com/subject/25897884/,陈浩基 , 皇冠文化出版有限公司 , 2014-6-9 , NT$350, 2014-6-9 , NT$350,9.1,空
國史大綱（上下）,https://book.douban.com/subject/1046492/,錢穆 , 商务印书馆 , 2013-8 , 76.00元, 2013-8 , 76.00元,9.4,钱穆中国通史
万水千山走遍,https://book.douban.com/subject/1036490/,三毛 , 哈尔滨出版社 , 2003-08 , 13.80, 2003-08 , 13.80,8.9,从遥远的撒哈拉到敦煌戈壁
阿勒泰的角落,https://book.douban.com/subject/4881850/,李娟 , 万卷出版公司 , 2010-6 , 25.00元, 2010-6 , 25.00元,9.1,白雪和阳光，青草和白桦林
鹿川有许多粪,https://book.douban.com/subject/35517022/,李沧东 , 武汉大学出版社 , 2021-8 , 58.00元, 2021-8 , 58.00元,9.0,空
爱的艺术,https://book.douban.com/subject/3026879/,[美] 艾·弗洛姆 , 上海译文出版社 , 2008-4 , 15.00元, 2008-4 , 15.00元,8.8,谦恭地、勇敢地、真诚地和有纪律地爱他人
苏菲的世界,https://book.douban.com/subject/2284311/,[挪] 乔斯坦·贾德 , 作家出版社 , 2007-10 , 26.00元, 2007-10 , 26.00元,8.8,哲学启蒙书
全球通史(上),https://book.douban.com/subject/1922216/,[美]斯塔夫里阿诺斯 , 北京大学出版社 , 2006-1-10 , 42.00, 2006-1-10 , 42.00,9.2,空
温柔的夜,https://book.douban.com/subject/2068249/,三毛 , 北京十月文艺出版社 , 2007-5 , 28.00元, 2007-5 , 28.00元,9.1,三毛在加纳利群岛的生活
一句顶一万句,https://book.douban.com/subject/3633461/,刘震云 , 长江文艺出版社 , 2009-3 , 29.80, 2009-3 , 29.80,8.8,一句胜过千年
德米安,https://book.douban.com/subject/3578470/,[德] 赫尔曼·黑塞 , 上海人民出版社 , 2009-3 , 25.00元, 2009-3 , 25.00元,8.9,少年辛克莱寻找通向自身之路的艰辛历程
史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,[美] 沃尔特·艾萨克森 , 中信出版社 , 2011-10-24 , 68.00元, 2011-10-24 , 68.00元,8.7,完美主义者的最高形态
我不知道该说什么，关于死亡还是爱情,https://book.douban.com/subject/25884880/,[白俄] S·A·阿列克谢耶维奇 , 花城出版社 , 2014-6-15 , 34.80元, 2014-6-15 , 34.80元,9.1,真实记录切尔诺贝利核灾难事件
